,model,dataset,mean_accuracy,std_accuracy
0,WAV2VEC2_BASE,RAVDESS,58.999998569488525,4.366539551192883
1,WAV2VEC2_BASE,AESDD,59.90338206291199,2.3862957029576983
2,WAV2VEC2_BASE,EMOVO,30.0,3.168199499401828
3,WAV2VEC2_BASE,EmoDB,86.42857193946838,3.417309716357332
4,WAV2VEC2_BASE,ShEMO,90.37634372711182,0.7488401896515309
5,WAV2VEC2_BASE,CaFE,64.18803572654724,7.540766436893389
6,WAV2VEC2_BASE,IEMOCAP,64.09982204437256,1.1734941883204257
7,HUBERT_LARGE,RAVDESS,69.60000038146973,3.0066581528317684
8,HUBERT_LARGE,AESDD,63.09178829193115,7.835028109857164
9,HUBERT_LARGE,EMOVO,43.571428656578064,5.18905468164029
10,HUBERT_LARGE,EmoDB,94.52380895614624,3.067642972545328
11,HUBERT_LARGE,ShEMO,91.55914187431335,0.40232836757541834
12,HUBERT_LARGE,CaFE,74.44444417953491,4.613801819532358
13,HUBERT_LARGE,IEMOCAP,69.82174873352051,1.0822185252027718
14,WAV2VEC2_LARGE_XLSR,RAVDESS,61.666667461395264,7.7028124412488195
15,WAV2VEC2_LARGE_XLSR,AESDD,52.946860790252686,11.31961515929369
16,WAV2VEC2_LARGE_XLSR,EMOVO,32.24489748477936,7.005976970873609
17,WAV2VEC2_LARGE_XLSR,EmoDB,86.1904764175415,13.606887774664516
18,WAV2VEC2_LARGE_XLSR,ShEMO,90.64516186714172,1.4163390755310392
19,WAV2VEC2_LARGE_XLSR,CaFE,55.81196665763855,15.103316095269316
20,WAV2VEC2_LARGE_XLSR,IEMOCAP,66.77361845970154,1.6591900562730728
21,WAV2VEC2_LARGE,RAVDESS,64.40000057220459,2.653299638192951
22,WAV2VEC2_LARGE,AESDD,63.96135210990906,6.413304678209006
23,WAV2VEC2_LARGE,EMOVO,38.26530635356903,4.96761669004872
24,WAV2VEC2_LARGE,EmoDB,91.66666626930237,2.7147040154355415
25,WAV2VEC2_LARGE,ShEMO,90.59139728546143,0.7410797776568356
26,WAV2VEC2_LARGE,CaFE,73.5897445678711,3.7098335679731744
27,WAV2VEC2_LARGE,IEMOCAP,66.70231819152832,1.3081880040778402
28,WAV2VEC2_LARGE_XLSR300M,RAVDESS,70.73333263397217,5.567364327080956
29,WAV2VEC2_LARGE_XLSR300M,AESDD,64.15458917617798,5.269022918494694
30,WAV2VEC2_LARGE_XLSR300M,EMOVO,31.428571343421936,7.044512840843109
31,WAV2VEC2_LARGE_XLSR300M,EmoDB,91.42856955528259,4.84452115705621
32,WAV2VEC2_LARGE_XLSR300M,ShEMO,93.11828017234802,0.2741405726230557
33,WAV2VEC2_LARGE_XLSR300M,CaFE,77.6068377494812,3.884894032557634
34,WAV2VEC2_LARGE_XLSR300M,IEMOCAP,69.16221022605896,1.1174628201796493
35,HUBERT_BASE,RAVDESS,58.733333349227905,2.2449948752730933
36,HUBERT_BASE,AESDD,59.03381705284119,1.3105950877046915
37,HUBERT_BASE,EMOVO,32.55102097988129,2.6095332318593583
38,HUBERT_BASE,EmoDB,87.61904716491699,3.809522315859864
39,HUBERT_BASE,ShEMO,89.35483694076538,0.9707232723779408
40,HUBERT_BASE,CaFE,69.65811967849731,2.076060793517226
41,HUBERT_BASE,IEMOCAP,66.23885989189148,1.0566661193591942
